student_id,target_credits,completed_credits,failure_prob
S_246,16,113,0.0276
S_247,16,20,0.0192
S_248,16,1,0.0993
S_249,18,28,0.082
S_250,17,28,0.0164
S_251,16,50,0.0877
S_252,14,110,0.0477
S_253,10,105,0.0645
S_254,16,54,0.0446
S_255,15,49,0.0293
S_256,15,66,0.0196
S_257,11,29,0.0715
S_258,11,6,0.0538
S_259,18,112,0.0974
S_260,14,22,0.0201
S_261,17,23,0.0454
S_262,15,56,0.0851
S_263,15,58,0.0454
S_264,17,2,0.0286
S_265,13,17,0.0153
S_266,15,45,0.025
S_267,13,82,0.0309
S_268,13,27,0.0827
S_269,14,50,0.0108
S_270,15,66,0.0526
S_271,13,106,0.0571
S_272,18,39,0.0309
S_273,12,16,0.0564
S_274,14,58,0.0377
S_275,13,89,0.0146
S_276,19,13,0.0482
S_277,15,50,0.0375
S_278,18,2,0.0449
S_279,10,4,0.0337
S_280,15,57,0.0653
S_281,17,35,0.1376
S_282,15,101,0.0287
S_283,18,72,0.0687
S_284,13,54,0.0119
S_285,19,48,0.0706
S_286,21,59,0.0573
S_287,13,4,0.0847
S_288,13,107,0.0261
S_289,19,119,0.0252
S_290,19,21,0.0481
S_291,13,14,0.0614
S_292,13,17,0.0062
S_293,14,79,0.0224
S_294,10,79,0.0379
S_295,12,101,0.0403
S_296,11,90,0.0562
S_297,12,53,0.0341
S_298,14,73,0.0108
S_299,15,82,0.0603
S_300,19,61,0.0487
S_301,12,57,0.0563
S_302,17,77,0.0923
S_303,14,66,0.0392
S_304,14,77,0.0428
S_305,17,73,0.065
S_306,11,86,0.0231
S_307,16,77,0.0635
S_308,15,62,0.0285
S_309,16,81,0.1437
S_310,15,53,0.0187
S_311,21,29,0.1042
S_312,13,0,0.0548
S_313,13,67,0.0328
S_314,13,70,0.0343
S_315,13,116,0.0129
S_316,13,43,0.0675
S_317,18,47,0.0461
S_318,19,24,0.0979
S_319,13,8,0.1242
S_320,12,92,0.0097
S_321,16,29,0.0316
S_322,13,73,0.1048
S_323,16,82,0.0462
S_324,15,56,0.0556
S_325,10,105,0.0424
S_326,19,53,0.0122
S_327,20,34,0.075
S_328,13,107,0.0419
S_329,13,103,0.0871
S_330,15,19,0.0479
S_331,16,3,0.049
S_332,16,10,0.0788
S_333,21,34,0.0141
S_334,14,116,0.0579
S_335,12,67,0.0284
S_336,10,44,0.0572
S_337,12,106,0.0385
S_338,14,54,0.0632
S_339,20,37,0.0277
S_340,13,112,0.0455
S_341,15,101,0.0205
S_342,14,101,0.0545
S_343,18,61,0.0127
S_344,21,94,0.1214
S_345,13,21,0.0719
S_346,13,68,0.0708
S_347,18,118,0.0405
S_348,17,34,0.1356
S_349,20,95,0.1145
S_350,16,58,0.0397
S_351,13,4,0.0607
S_352,16,91,0.0098
S_353,18,20,0.0518
S_354,17,75,0.048
S_355,16,10,0.0146
S_356,18,113,0.0596
S_357,18,35,0.0436
S_358,19,27,0.0203
S_359,16,15,0.0311
S_360,14,113,0.0546
S_361,15,85,0.0361
S_362,18,88,0.0496
S_363,12,59,0.0302
S_364,16,56,0.044
S_365,13,13,0.0508
S_366,15,67,0.0219
S_367,18,29,0.0759
S_368,15,117,0.0251
S_369,15,95,0.0557
S_370,10,49,0.1169
S_371,17,18,0.0293
S_372,16,94,0.0522
S_373,21,14,0.0886
S_374,14,22,0.0633
S_375,15,25,0.0439
S_376,15,66,0.0184
S_377,19,94,0.0774
S_378,14,37,0.0568
S_379,15,10,0.0304
S_380,16,55,0.0586
S_381,15,89,0.0955
S_382,13,26,0.0736
S_383,15,26,0.0721
S_384,18,113,0.0344
S_385,11,114,0.0773
S_386,15,118,0.0113
S_387,12,96,0.078
S_388,18,22,0.0304
S_389,10,25,0.0534
S_390,13,40,0.0214
S_391,16,38,0.0026
S_392,19,114,0.0813
S_393,14,94,0.0289
S_394,13,86,0.1164
S_395,20,22,0.0655
S_396,10,109,0.0599
S_397,8,99,0.0958
S_398,16,19,0.0698
S_399,13,104,0.0454
S_400,11,32,0.0199
S_401,17,9,0.0175
S_402,15,78,0.0164
S_403,13,78,0.0728
S_404,11,11,0.1245
S_405,17,38,0.0316
S_406,16,119,0.0782
S_407,14,81,0.027
S_408,20,87,0.0422
S_409,11,25,0.0261
S_410,10,9,0.0362
S_411,12,33,0.091
S_412,14,29,0.0101
S_413,15,28,0.0598
S_414,14,23,0.0207
S_415,16,68,0.0428
S_416,11,39,0.0727
S_417,19,98,0.0707
S_418,14,22,0.0189
S_419,18,55,0.013
S_420,16,1,0.0029
S_421,16,57,0.0134
S_422,16,6,0.0854
S_423,16,117,0.0616
S_424,16,94,0.0555
S_425,18,58,0.0059
S_426,15,10,0.0409
S_427,17,71,0.0105
S_428,14,91,0.0305
S_429,19,22,0.0647
S_430,12,68,0.1054
S_431,20,97,0.0794
S_432,14,92,0.1701
S_433,10,96,0.046
S_434,15,105,0.0306
S_435,12,112,0.0529
S_436,17,48,0.0318
S_437,13,68,0.0431
S_438,13,94,0.0209
S_439,9,83,0.0403
S_440,13,119,0.0372
S_441,7,1,0.0595
S_442,10,42,0.0602
S_443,17,33,0.0535
S_444,17,31,0.02
S_445,16,26,0.0252
S_446,12,85,0.0432
S_447,14,10,0.0519
S_448,14,88,0.0114
S_449,11,83,0.0257
S_450,19,30,0.0312
S_451,17,30,0.0158
S_452,14,75,0.1424
S_453,15,91,0.0153
S_454,15,105,0.1437
S_455,8,102,0.0253
S_456,14,115,0.0706
S_457,12,69,0.1151
S_458,11,109,0.0182
S_459,14,97,0.0301
S_460,20,107,0.0292
S_461,16,1,0.0671
S_462,13,115,0.0805
S_463,16,56,0.0369
S_464,19,95,0.0071
S_465,17,15,0.0197
S_466,15,47,0.012
S_467,13,32,0.0342
S_468,17,34,0.0611
S_469,16,14,0.1059
S_470,17,96,0.0379
S_471,16,1,0.0198
S_472,18,37,0.1097
S_473,13,20,0.0924
S_474,18,70,0.0238
S_475,15,30,0.0231
S_476,21,31,0.0317
S_477,12,58,0.0122
S_478,20,78,0.0334
S_479,15,14,0.0096
S_480,13,21,0.0431
S_481,13,29,0.0375
S_482,14,116,0.1153
S_483,16,47,0.0398
S_484,16,71,0.0325
S_485,13,28,0.032
S_486,14,58,0.1217
S_487,21,8,0.0161
S_488,20,4,0.0057
S_489,16,56,0.0888
S_490,15,47,0.0371
S_491,15,16,0.0234
S_492,16,82,0.0233
S_493,11,119,0.0461
S_494,14,47,0.0827
S_495,9,74,0.0514
S_496,16,115,0.0645
S_497,16,99,0.0807
S_498,13,55,0.0167
S_499,19,88,0.0046
S_500,11,15,0.0507
S_501,10,61,0.0289
S_502,15,33,0.1022
S_503,18,19,0.0108
S_504,20,51,0.0448
S_505,13,15,0.0275
S_506,18,83,0.0428
S_507,14,54,0.0795
S_508,14,63,0.061
S_509,17,17,0.0339
S_510,16,16,0.0139
S_511,10,70,0.0399
S_512,19,118,0.0793
S_513,19,11,0.0362
S_514,13,34,0.0068
S_515,16,104,0.0282
S_516,16,8,0.0582
S_517,15,105,0.1247
S_518,13,62,0.1177
S_519,12,48,0.0601
S_520,14,37,0.0306
S_521,18,35,0.0295
S_522,16,36,0.0291
S_523,13,106,0.0475
S_524,17,86,0.0299
S_525,6,80,0.0064
S_526,18,95,0.0587
S_527,9,30,0.0248
S_528,13,74,0.0743
S_529,11,55,0.0662
S_530,11,93,0.0981
S_531,18,37,0.1041
S_532,13,77,0.0134
S_533,16,105,0.0146
S_534,14,48,0.106
S_535,16,7,0.0786
S_536,15,61,0.0152
S_537,11,41,0.1048
S_538,17,80,0.0117
S_539,13,114,0.0205
S_540,10,58,0.0443
S_541,13,55,0.0606
S_542,19,78,0.0225
S_543,17,12,0.0586
S_544,13,30,0.0065
S_545,13,110,0.1655
S_546,14,80,0.0207
S_547,21,1,0.0442
S_548,16,24,0.0713
S_549,16,81,0.0458
S_550,18,91,0.01
S_551,15,100,0.0049
S_552,14,35,0.0271
S_553,14,111,0.0517
S_554,14,66,0.0455
S_555,14,83,0.0718
S_556,17,71,0.0577
S_557,15,14,0.0119
S_558,17,115,0.0427
S_559,14,14,0.0404
S_560,15,30,0.0147
S_561,9,97,0.0687
S_562,17,74,0.0393
S_563,16,100,0.0127
S_564,17,61,0.1378
S_565,6,45,0.0423
S_566,21,110,0.0491
S_567,14,4,0.0412
S_568,18,102,0.0162
S_569,11,27,0.0149
S_570,16,101,0.0046
S_571,11,16,0.0537
S_572,13,69,0.0267
S_573,20,106,0.0168
S_574,14,56,0.0054
S_575,15,89,0.0179
S_576,17,96,0.0314
S_577,16,88,0.0295
S_578,15,111,0.0603
S_579,16,53,0.0181
S_580,21,20,0.0228
S_581,14,5,0.0841
S_582,15,29,0.0208
S_583,18,17,0.1039
S_584,18,66,0.0317
S_585,18,22,0.0399
S_586,16,4,0.0835
S_587,11,4,0.046
S_588,19,99,0.0071
S_589,11,70,0.0425
S_590,15,42,0.0447
S_591,12,107,0.0079
S_592,14,8,0.011
S_593,15,117,0.1188
S_594,15,73,0.0357
S_595,16,22,0.0171
S_596,19,81,0.026
S_597,16,91,0.0501
S_598,14,51,0.0524
S_599,17,103,0.0182
S_600,18,18,0.0527
S_601,11,33,0.0548
S_602,16,11,0.0441
S_603,17,25,0.039
S_604,14,28,0.0375
S_605,19,110,0.0359
S_606,14,9,0.037
S_607,15,51,0.0565
S_608,14,63,0.0275
S_609,15,107,0.021
S_610,11,119,0.0826
S_611,10,90,0.0652
S_612,19,116,0.0547
S_613,12,94,0.1445
S_614,12,115,0.0331
S_615,8,84,0.0321
S_616,13,9,0.0058
S_617,11,48,0.0289
S_618,19,77,0.0487
S_619,18,42,0.1335
S_620,12,32,0.0517
S_621,21,69,0.0217
S_622,17,112,0.0533
S_623,14,4,0.1318
S_624,7,92,0.079
S_625,21,86,0.0886
S_626,10,115,0.0486
S_627,10,111,0.1077
S_628,18,91,0.0099
S_629,21,62,0.13
S_630,19,24,0.0213
S_631,16,65,0.0638
S_632,16,91,0.0348
S_633,17,107,0.0739
S_634,17,94,0.065
S_635,15,23,0.0849
S_636,15,71,0.0103
S_637,14,39,0.0188
S_638,12,1,0.0382
S_639,14,24,0.0199
S_640,9,13,0.0781
S_641,14,101,0.0129
S_642,12,31,0.0085
S_643,11,34,0.0366
S_644,15,115,0.0938
S_645,19,45,0.0182
S_646,17,1,0.0076
S_647,10,34,0.0601
S_648,12,14,0.0989
S_649,17,12,0.1198
S_650,12,9,0.0184
S_651,14,71,0.0735
S_652,16,22,0.0138
S_653,12,43,0.0939
S_654,15,103,0.0243
S_655,10,50,0.0417
S_656,13,109,0.0565
S_657,15,59,0.0428
S_658,10,47,0.0217
S_659,16,90,0.1646
S_660,14,8,0.0159
S_661,16,10,0.1075
S_662,15,78,0.0648
S_663,19,58,0.0281
S_664,15,94,0.012
S_665,13,109,0.0248
S_666,15,46,0.0155
S_667,16,71,0.0275
S_668,15,60,0.0064
S_669,15,117,0.0118
S_670,12,99,0.0355
S_671,13,109,0.1009
S_672,10,30,0.0289
S_673,20,92,0.0296
S_674,11,31,0.0108
S_675,12,25,0.0459
S_676,12,113,0.035
S_677,17,2,0.0623
S_678,14,115,0.06
S_679,18,17,0.0216
S_680,12,98,0.0748
S_681,15,33,0.03
S_682,12,42,0.0965
S_683,21,26,0.0165
S_684,11,70,0.0509
S_685,15,41,0.0076
S_686,16,78,0.0313
S_687,16,1,0.0516
S_688,14,7,0.0314
S_689,14,11,0.0879
S_690,15,50,0.0557
S_691,14,97,0.0576
S_692,17,106,0.0297
S_693,21,29,0.047
S_694,13,68,0.0295
S_695,10,92,0.0258
S_696,14,34,0.0624
S_697,21,49,0.0474
S_698,12,62,0.0148
S_699,19,16,0.0607
S_700,20,3,0.0325
S_701,13,18,0.1232
S_702,16,75,0.099
S_703,19,8,0.0556
S_704,13,22,0.1095
S_705,14,40,0.0103
S_706,13,9,0.0274
S_707,11,23,0.0481
S_708,13,109,0.0754
S_709,11,2,0.0711
S_710,15,78,0.063
S_711,12,46,0.0707
S_712,15,80,0.0733
S_713,10,70,0.0347
S_714,15,26,0.0812
S_715,17,101,0.0353
S_716,9,59,0.0924
S_717,16,98,0.0486
S_718,18,48,0.0764
S_719,11,118,0.0345
S_720,20,92,0.0289
S_721,16,115,0.0035
S_722,12,61,0.024
S_723,14,56,0.0184
S_724,16,90,0.0317
S_725,15,105,0.0591
S_726,16,115,0.0806
S_727,12,38,0.075
S_728,15,95,0.0447
S_729,10,25,0.0164
S_730,14,65,0.0658
S_731,12,21,0.0381
S_732,12,41,0.03
S_733,18,111,0.0796
S_734,18,17,0.0136
S_735,16,75,0.0429
S_736,11,71,0.0169
S_737,14,14,0.0212
S_738,18,39,0.0176
S_739,15,67,0.0363
S_740,21,22,0.1292
S_741,16,96,0.0732
S_742,15,116,0.0145
S_743,14,25,0.0338
S_744,15,22,0.0335
S_745,14,54,0.0034
S_746,17,89,0.1167
S_747,17,33,0.1076
S_748,12,2,0.0259
S_749,11,64,0.0697
S_750,9,114,0.0517
S_751,16,46,0.0422
S_752,11,50,0.1859
S_753,8,116,0.0517
S_754,16,83,0.0199
S_755,21,86,0.0244
S_756,14,67,0.0359
S_757,17,116,0.0603
S_758,15,82,0.0161
S_759,14,107,0.0605
S_760,17,83,0.0492
S_761,14,88,0.0052
S_762,15,34,0.0124
S_763,15,36,0.0159
S_764,12,93,0.0298
S_765,17,35,0.0276
S_766,14,67,0.0179
S_767,12,29,0.0842
S_768,16,98,0.0949
S_769,12,13,0.0491
S_770,15,99,0.0446
S_771,14,72,0.0446
S_772,18,22,0.1205
S_773,16,65,0.0228
S_774,14,33,0.1151
S_775,17,38,0.0379
S_776,19,42,0.0199
S_777,16,7,0.0263
S_778,15,118,0.0113
S_779,11,3,0.0083
S_780,11,79,0.039
S_781,14,44,0.0475
S_782,13,77,0.0786
S_783,14,42,0.0206
S_784,15,80,0.0328
S_785,16,87,0.0396
S_786,14,82,0.0687
S_787,16,13,0.0265
S_788,15,78,0.0374
S_789,9,33,0.0395
S_790,12,3,0.0425
S_791,14,49,0.0688
S_792,11,52,0.0271
S_793,16,56,0.0119
S_794,19,84,0.062
S_795,18,37,0.0318
S_796,14,37,0.0315
S_797,19,7,0.0457
S_798,15,82,0.0564
S_799,13,68,0.0175
S_800,13,41,0.0361
S_801,14,84,0.0599
S_802,13,64,0.0612
S_803,15,56,0.0194
S_804,15,61,0.053
S_805,15,76,0.0214
S_806,16,79,0.0217
S_807,18,34,0.0393
S_808,17,16,0.0207
S_809,10,18,0.0705
S_810,7,76,0.0535
S_811,17,104,0.0392
S_812,10,49,0.0101
S_813,14,20,0.0392
S_814,11,90,0.0112
S_815,9,99,0.0872
S_816,16,105,0.041
S_817,17,72,0.0446
S_818,13,103,0.0071
S_819,7,1,0.0489
S_820,13,12,0.0629
S_821,16,11,0.0173
S_822,10,85,0.088
S_823,15,8,0.0248
S_824,14,59,0.0466
S_825,16,56,0.08
S_826,15,37,0.034
S_827,12,104,0.0089
S_828,18,20,0.0652
S_829,14,42,0.059
S_830,14,92,0.1064
S_831,12,3,0.0343
S_832,13,80,0.0631
S_833,12,97,0.0782
S_834,14,111,0.0144
S_835,20,105,0.0361
S_836,10,38,0.0166
S_837,10,70,0.104
S_838,19,9,0.061
S_839,14,30,0.0507
S_840,12,11,0.0792
S_841,18,37,0.005
S_842,13,105,0.1314
S_843,20,41,0.0327
S_844,17,67,0.0999
S_845,13,52,0.1057
S_846,21,55,0.0107
S_847,13,116,0.054
S_848,17,35,0.0287
S_849,15,75,0.0437
S_850,18,50,0.024
S_851,19,7,0.0084
S_852,15,58,0.0605
S_853,12,97,0.1075
S_854,16,11,0.0403
S_855,12,8,0.006
S_856,21,18,0.0513
S_857,15,91,0.0931
S_858,13,86,0.0786
S_859,15,67,0.0323
S_860,10,56,0.0229
S_861,12,106,0.0544
S_862,18,92,0.0914
S_863,13,97,0.0934
S_864,11,97,0.0591
S_865,16,77,0.0457
S_866,18,54,0.0152
S_867,17,103,0.014
S_868,17,111,0.05
S_869,12,2,0.0292
S_870,10,6,0.1038
S_871,19,115,0.0735
S_872,14,33,0.0184
S_873,14,104,0.0713
S_874,18,46,0.0667
S_875,16,14,0.052
S_876,16,9,0.0674
S_877,21,18,0.0853
S_878,13,29,0.0412
S_879,17,58,0.0507
S_880,15,84,0.0638
S_881,15,118,0.085
S_882,19,52,0.0251
S_883,16,62,0.0248
S_884,16,62,0.0129
S_885,18,64,0.0082
S_886,13,62,0.0269
S_887,12,1,0.0367
S_888,11,0,0.0574
S_889,9,11,0.02
S_890,21,12,0.0345
S_891,11,84,0.0641
S_892,14,24,0.0528
S_893,14,107,0.0364
S_894,15,111,0.0075
S_895,17,117,0.0368
S_896,17,112,0.064
S_897,13,32,0.0823
S_898,14,61,0.0986
S_899,15,21,0.06
S_900,14,96,0.0677
S_901,19,106,0.0137
S_902,16,102,0.1095
S_903,17,52,0.0921
S_904,16,91,0.0824
S_905,18,11,0.0499
S_906,15,4,0.0296
S_907,11,90,0.0179
S_908,16,51,0.0123
S_909,13,119,0.0442
S_910,13,11,0.0421
S_911,16,102,0.0773
S_912,18,57,0.0989
S_913,15,99,0.0727
S_914,15,98,0.0339
S_915,20,109,0.0695
S_916,15,35,0.0956
S_917,21,113,0.0165
S_918,16,18,0.0259
S_919,9,9,0.134
S_920,17,51,0.0794
S_921,16,99,0.1468
S_922,18,56,0.0273
S_923,17,99,0.0158
S_924,14,87,0.0313
S_925,11,25,0.1038
S_926,14,113,0.0999
S_927,12,7,0.0365
S_928,13,107,0.0835
S_929,16,36,0.1155
S_930,20,60,0.0666
S_931,16,50,0.0201
S_932,11,20,0.0784
S_933,16,42,0.0059
S_934,18,23,0.0363
S_935,13,24,0.0475
S_936,14,22,0.0183
S_937,15,58,0.0279
S_938,12,95,0.0218
S_939,16,68,0.0159
S_940,14,107,0.0954
S_941,16,76,0.0819
S_942,12,82,0.0284
S_943,13,80,0.063
S_944,17,53,0.0405
S_945,13,82,0.0313
S_946,20,8,0.0292
S_947,13,103,0.0264
S_948,15,93,0.0066
S_949,17,29,0.0443
S_950,10,92,0.0582
S_951,9,1,0.0295
S_952,10,26,0.0287
S_953,18,7,0.0361
S_954,13,93,0.1413
S_955,21,90,0.0291
S_956,13,97,0.0571
S_957,15,0,0.0171
S_958,19,60,0.0434
S_959,21,84,0.0523
S_960,21,18,0.04
S_961,18,77,0.0121
S_962,18,10,0.0599
S_963,16,21,0.0366
S_964,17,57,0.0023
S_965,13,78,0.0201
S_966,12,17,0.0969
S_967,14,22,0.0326
S_968,14,24,0.0715
S_969,13,28,0.0532
S_970,17,27,0.0303
S_971,17,47,0.0205
S_972,15,78,0.1115
S_973,19,52,0.12
S_974,11,93,0.0719
S_975,14,86,0.0495
S_976,12,15,0.0197
S_977,9,5,0.0381
S_978,14,105,0.0504
S_979,14,9,0.0207
S_980,19,17,0.1129
S_981,16,2,0.0707
S_982,11,75,0.0775
S_983,20,69,0.0569
S_984,18,118,0.059
S_985,16,106,0.0306
S_986,14,49,0.0715
S_987,12,44,0.0311
S_988,13,35,0.0599
S_989,18,18,0.0224
S_990,20,16,0.0489
S_991,19,15,0.0401
S_992,13,13,0.0133
S_993,11,28,0.1179
S_994,15,36,0.0341
S_995,9,115,0.0512
S_996,15,69,0.1085
S_997,14,118,0.1126
S_998,13,44,0.0757
S_999,10,54,0.017
S_1000,16,38,0.0333
S_1001,13,21,0.0299
S_1002,11,17,0.0839
S_1003,6,113,0.125
S_1004,14,118,0.0747
S_1005,20,5,0.0048
S_1006,19,18,0.0999
S_1007,13,50,0.04
S_1008,13,22,0.0363
S_1009,16,43,0.0452
S_1010,12,15,0.0482
S_1011,15,54,0.0902
S_1012,17,32,0.1029
S_1013,18,42,0.0105
S_1014,14,11,0.0399
S_1015,14,51,0.0146
S_1016,12,117,0.0854
S_1017,12,39,0.0799
S_1018,14,105,0.0199
S_1019,16,101,0.0567
S_1020,17,114,0.1177
S_1021,12,94,0.0788
S_1022,19,79,0.0266
S_1023,14,102,0.0341
S_1024,14,9,0.0756
S_1025,12,55,0.1235
S_1026,7,118,0.0223
S_1027,17,92,0.0489
S_1028,17,115,0.0157
S_1029,14,93,0.056
S_1030,15,104,0.0095
S_1031,16,84,0.051
S_1032,10,91,0.0728
S_1033,13,62,0.0372
S_1034,17,110,0.0795
S_1035,11,99,0.0723
S_1036,15,101,0.0515
S_1037,10,80,0.0574
S_1038,16,36,0.0049
S_1039,14,4,0.1146
S_1040,10,112,0.0061
S_1041,18,70,0.0258
S_1042,12,35,0.004
S_1043,12,17,0.0728
S_1044,15,99,0.0151
S_1045,18,100,0.0513
S_1046,11,97,0.047
S_1047,15,77,0.0108
S_1048,16,43,0.0432
S_1049,17,36,0.0291
S_1050,15,1,0.0392
S_1051,13,100,0.016
S_1052,12,10,0.0292
S_1053,15,75,0.0214
S_1054,11,60,0.0581
S_1055,6,63,0.0222
S_1056,16,111,0.0828
S_1057,17,3,0.0776
S_1058,7,92,0.038
S_1059,11,6,0.1604
S_1060,16,4,0.0058
S_1061,21,51,0.0833
S_1062,15,7,0.0771
S_1063,12,94,0.025
S_1064,14,63,0.0468
S_1065,19,3,0.0429
S_1066,13,4,0.0101
S_1067,12,73,0.102
S_1068,13,96,0.0618
S_1069,12,52,0.0377
S_1070,15,66,0.0211
S_1071,19,95,0.0142
S_1072,15,73,0.0178
S_1073,14,26,0.0542
S_1074,14,73,0.0508
